S. NO,LOT,NAME,COUNTRY,Rtm available ,BASE PRICE,Set,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4s,6s,INNS,B,RUNS,WKTS,ECON,AVG,SR,4W,5W,Sale Price,Team
99,5,Reece Topley,England,_,75,FAST BOWLERS 1,22,7,5,13,9,6.5,16,81.2,0,0,1,0,22,469,649,22,8.3,29.5,21.9,0,0,,
100,6,Rahul Chahar,India,PBKS,70,SPIN BOWLERS 1,55,19,6,108,25,8.31,100,108,0,0,10,4,54,1178,1477,57,7.5,25.9,20.7,1,0,,
101,6,Varun Chakravarthy,India,KKR,100,SPIN BOWLERS 1,42,10,7,24,10,8,37,64.86,0,0,2,0,42,972,1171,42,7.2,27.9,23.1,0,1,,
102,6,Kuldeep Yadav,India ,DC,200,SPIN BOWLERS 1,59,18,11,105,16,15,127,82.68,0,0,8,2,57,1192,1655,61,8.3,27.1,19.5,3,0,,
103,6,Ravi Bishnoi ,India ,LSG,50,SPIN BOWLERS 1,37,5,3,8,6,4,17,47.06,0,0,1,0,37,846,1062,37,7.5,28.7,22.9,0,0,,
104,6,Amit Mishra,India,_,150,SPIN BOWLERS 1,154,56,25,362,31,11.68,389,93.06,0,0,29,5,154,3241,3976,166,7.4,24,19.5,4,1,,
105,6,Piyush Chawla,India,_,50,SPIN BOWLERS 1,165,82,32,584,24,11.68,526,111.03,0,0,54,18,164,3265,4301,157,7.9,27.4,20.8,2,0,,
106,6,Adil Rashid,England,_,200,SPIN BOWLERS 1,1,0,0,0,0,,0,,0,0,0,0,1,18,35,0,11.7,-,-,0,0,,
107,6,Adam Zampa,Australia,_,200,SPIN BOWLERS 1,14,2,0,5,5,2.5,8,62.5,0,0,1,0,14,285,370,21,7.8,17.6,13.6,0,1,,
108,6,Maheesh Theekshana, Sri Lanka,CSK,50,SPIN BOWLERS 1,9,2,1,7,7,7,7,100,0,0,0,1,9,210,261,12,7.5,21.8,17.5,1,0,,
109,7,Mandeep Singh,India,DC,50,BATSMEN 2,108,95,16,1692,77,21.42,1372,123.32,0,6,176,37,-,-,-,-,-,-,-,-,-,,
110,7,Priyam Garg,India,_,20,BATSMEN 2,21,17,1,251,51,15.69,218,115.14,0,1,15,9,-,-,-,-,-,-,-,-,-,,
111,7,C.Hari Nishaanth,India,CSK,20,BATSMEN 2,30,29,4,652,92,26.1,535,121.9,0,3,62,27,-,-,-,-,-,-,-,-,-,,
112,7,Rahul Tripathi,India,SRH,40,BATSMEN 2,76,74,10,1798,93,28.09,1277,140.8,0,10,176,68,-,-,-,-,-,-,-,-,-,,
113,7,Karun Nair,India,RR,50,BATSMEN 2,76,68,5,1496,83,23.75,1171,127.75,0,10,161,39,-,-,-,-,-,-,-,-,-,,
114,7,Manan Vohra,India,LSG,20,BATSMEN 2,55,50,2,1073,95,22.35,818,131.17,0,3,103,43,-,-,-,-,-,-,-,-,-,,
115,7,Tilak Verma,India,MI,20,BATSMEN 2,14,14,3,397,61,36.09,303,131.02,0,2,29,16,-,-,-,-,-,-,-,-,-,,
116,7,Yash Dhull,India,DC,20,BATSMEN 2,8,8,3,363,73,72.6,276,131.5,0,3,36,11,-,-,-,-,-,-,-,-,-,,
117,7,Yashasvi Jaiswal,India,RR,50,BATSMEN 2,23,23,0,547,68,23.78,406,134.73,0,3,62,22,-,-,-,-,-,-,-,-,-,,
118,7,Shahrukh Khan,India,PBKS,40,BATSMEN 2,19,18,4,270,47,19.29,222,121.62,0,0,13,19,-,-,-,-,-,-,-,-,-,,
119,7,Rajat Patidar,India,RCB,20,BATSMEN 2,12,11,1,404,112,40.4,280,144.29,1,2,30,21,-,-,-,-,-,-,-,-,-,,
120,7,Ayush Badoni,India,LSG,20,BATSMEN 2,9,9,0,206,43,22.89,129,159.69,0,0,16,13,-,-,-,-,-,-,-,-,-,,
121,7,Rinku Singh ,India,KKR,20,BATSMEN 2,17,15,3,251,42,20.9,193,130.1,0,0,23,9,-,-,-,-,-,-,-,-,-,,
122,7,Hanuma Vihari,India,_,50,BATSMEN 2,24,23,3,284,46,14.2,321,88.47,0,0,23,1,-,-,-,-,-,-,-,-,-,,
123,7,Dewald Brevis,South Africa,MI,20,BATSMEN 2,7,7,0,161,49,23,113,142.48,0,0,14,11,-,-,-,-,-,-,-,-,-,,
124,7,Rassie Van Der Dussen,South Africa,RR,100,BATSMEN 2,3,3,1,22,12,11,24,91.67,0,0,2,0,-,-,-,-,-,-,-,-,-,,
125,7,Chris Lynn,Australia,_,150,BATSMEN 2,42,42,3,1329,93,34.08,945,140.63,0,10,132,66,-,-,-,-,-,-,-,-,-,,
126,7,Marnus Labuschagne,Australia,_,100,BATSMEN 2,1,1,0,2,2,2,4,50,0,0,0,0,-,-,-,-,-,-,-,-,-,,
127,7,Sherfane Rutherford,West Indies,RCB,100,BATSMEN 2,10,9,2,106,28,15.14,104,101.92,0,0,3,8,-,-,-,-,-,-,-,-,-,,
128,7,Tristan Stubbs,South Africa,MI,20,BATSMEN 2,2,2,0,2,2,1,4,50,0,0,0,0,-,-,-,-,-,-,-,-,-,,
129,7,Bhanuka Rajapaksa,Sri Lanka,PBKS,50,BATSMEN 2,9,9,0,206,43,22.89,129,159.69,0,0,16,13,-,-,-,-,-,-,-,-,-,,
130,7,Rilee Rossouw,South Africa,_,200,BATSMEN 2,5,5,0,53,24,10.6,51,103.92,0,0,3,3,-,-,-,-,-,-,-,-,-,,
131,8,K.S. Bharat,India,DC,20,WICKET KEEPERS 2,10,9,2,199,78,28.43,163,122.09,0,1,12,8,-,-,-,-,-,-,-,-,-,,
132,8,Sheldon Jackson,India,KKR,30,WICKET KEEPERS 2,9,8,2,61,16,10.17,57,107.02,0,0,5,1,-,-,-,-,-,-,-,-,-,,
133,8,N. Jagadeesan,India,CSK,20,WICKET KEEPERS 2,7,4,1,73,39,24.33,66,110.61,0,0,7,1,-,-,-,-,-,-,-,-,-,,
135,8,Shreevats Goswami,India,_,20,WICKET KEEPERS 2,31,21,1,293,52,14.65,295,99.32,0,1,32,3,-,-,-,-,-,-,-,-,-,,
136,8,Prabhsimran Singh,India,PBKS,20,WICKET KEEPERS 2,6,6,0,64,16,10.67,66,96.97,0,0,6,2,-,-,-,-,-,-,-,-,-,,
137,8,Vishnu Vinod,India,_,20,WICKET KEEPERS 2,3,3,0,19,9,6.33,26,73.08,0,0,1,1,-,-,-,-,-,-,-,-,-,,
138,8,Jitesh Sharma,India,PBKS,20,WICKET KEEPERS 2,12,10,2,234,44,29.25,143,163.64,0,0,22,12,-,-,-,-,-,-,-,-,-,,
139,8,Dhruv Jurel,India,RR,20,WICKET KEEPERS 2,3,3,0,28,23,9.3,39,71.8,0,0,0,1,-,-,-,-,-,-,-,-,-,,
140,8,Anuj Rawat,India,RCB,20,WICKET KEEPERS 2,10,9,0,129,66,14.33,119,108.4,0,1,10,7,-,-,-,-,-,-,-,-,-,,
141,8,Phil Salt,England,_,200,WICKET KEEPERS 2,13,12,1,245,88,22.3,152,161.2,0,2,28,2,-,-,-,-,-,-,-,-,-,,
142,8,Rahmanullah Gurbaz,Afghanistan,_,50,WICKET KEEPERS 2,37,37,0,921,87,24.9,667,138.1,0,5,73,56,-,-,-,-,-,-,-,-,-,,
143,8,Litton Das,Bangladesh,_,50,WICKET KEEPERS 2,65,64,1,1388,69,22,1077,128.9,0,8,137,43,-,-,-,-,-,-,-,-,-,,
144,9,Abdul Samad,India,SRH,70,ALL ROUNDERS 2,25,20,4,226,33,14.12,159,142.14,0,0,12,14,5,54,113,2,12.6,56.5,27,0,0,,
145,9,Shahbaz Ahamad,India,RCB,30,ALL ROUNDERS 2,29,19,4,279,45,18.6,235,118.72,0,0,18,11,22,330,472,13,8.6,36.3,25.4,0,0,,
146,9,Harpreet Brar,India,PBKS,20,ALL ROUNDERS 2,15,9,6,106,25,35.33,95,111.58,0,0,6,5,15,288,374,9,7.8,41.6,32,0,0,,
147,9,Sarfaraz Khan,India,DC,20,ALL ROUNDERS 2,46,33,11,532,67,24.18,386,137.82,0,1,59,13,1,1,6,0,30,-,-,0,0,,
149,9,Kamlesh Nagarkoti,India,DC,40,ALL ROUNDERS 2,12,7,3,22,8,5.5,33,66.67,0,0,1,0,11,180,285,5,9.5,57,36,0,0,,
150,9,Riyan Parag,India,RR,30,ALL ROUNDERS 2,47,37,6,522,56,16.84,418,124.88,0,2,40,22,19,157,280,4,10.7,70,39.2,0,0,,
151,9,Abhishek Sharma,India,SRH,20,ALL ROUNDERS 2,36,34,6,667,75,23.82,493,135.29,0,2,64,25,17,156,214,7,8.2,30.6,22.3,0,0,,
152,9,Rahul Tewatia,India,GT,40,ALL ROUNDERS 2,64,46,17,738,53,25.45,566,130.39,0,1,57,35,50,829,1096,32,7.9,34.2,25.9,0,0,,
